Dataset name,fragment,events,gridpack,card location
SMS-T5ttcc_Par-mGluino-1800_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1800_fragment.py,2700000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1825_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1825_fragment.py,500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1825_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1825_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1850_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1850_fragment.py,2800000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1850_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1850_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1875_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1875_fragment.py,500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1875_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1875_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1900_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1900_fragment.py,2800000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1900_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1900_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1925_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1925_fragment.py,500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1925_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1925_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1950_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1950_fragment.py,2900000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1950_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1950_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-1975_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-1975_fragment.py,500000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1975_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-1975_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2000_fragment.py,2900000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
SMS-T5ttcc_Par-mGluino-2025_TuneCP5_13p6TeV_madgraphMLM-pythia8,https://github.com/Kim-JiHeon-HEP/Run3_NPS_Stop_SMS_requests/blob/main/fragments/gluino/SMS-T5ttcc_mGluino-2025_fragment.py,400000,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2025_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/SUSY_SMS/SMS-GlGl/SMS-GlGl_mGl-2025_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
